"Time Quantum","Algorithm","Amount of processes","Average processing time [s]","Average waiting time [s]"
"0.5","FCFS","100","519.793","530.313"
"0.5","LCFS","100","521.697","532.217"
"0.5","SJF","100","356.407","366.927"
"0.5","RoundRobin FCFS","100","382.792","393.312"
"0.5","RoundRobin LCFS","100","382.994","393.514"

"1.0","FCFS","100","519.793","530.313"
"1.0","LCFS","100","521.697","532.217"
"1.0","SJF","100","356.407","366.927"
"1.0","RoundRobin FCFS","100","686.718","697.238"
"1.0","RoundRobin LCFS","100","686.92","697.44"

"1.5","FCFS","100","519.793","530.313"
"1.5","LCFS","100","521.697","532.217"
"1.5","SJF","100","356.407","366.927"
"1.5","RoundRobin FCFS","100","625.712","636.232"
"1.5","RoundRobin LCFS","100","626.11","636.63"

"50.0","FCFS","100","519.793","530.313"
"50.0","LCFS","100","521.697","532.217"
"50.0","SJF","100","356.407","366.927"
"50.0","RoundRobin FCFS","100","519.793","530.313"
"50.0","RoundRobin LCFS","100","521.697","532.217"

